Iteraciones,Energia_liberada,Energia_total
97400,0.000000,0.233156
97500,0.000000,0.239508
97600,0.000000,0.251028
97700,0.000000,0.266691
97800,0.000000,0.240824
97900,0.000000,0.246755
98000,0.000000,0.221393
98100,0.000000,0.228608
98200,0.000000,0.243161
98300,0.000000,0.222863
98400,0.000000,0.243696
98500,0.000000,0.246605
98600,0.000000,0.250441
98700,0.000000,0.222024
98800,0.000000,0.251623
98900,0.000000,0.229101
99000,0.000000,0.264296
99100,0.000000,0.268039
99200,0.000000,0.267451
99300,0.000000,0.252482
99400,0.000000,0.253449
99500,0.000000,0.285043
99600,0.000000,0.267452
99700,0.000000,0.231347
99800,0.000000,0.267618
99900,0.000000,0.253523
100000,0.000000,0.233737
100100,0.000000,0.228188
100200,0.000000,0.228285
100300,0.000000,0.286512
100400,0.000000,0.280451
100500,0.000000,0.274820
100600,0.000000,0.290924
100700,0.000000,0.266542
100800,0.000000,0.240082
100900,0.000000,0.281082
101000,0.000000,0.286675
101100,0.000000,0.306127
101200,0.000000,0.292800
101300,0.000000,0.279462
101400,0.000000,0.277177
101500,0.000000,0.294254
101600,0.000000,0.337333
101700,0.000000,0.318058
101800,0.000000,0.309218
101900,0.000000,0.315107
102000,0.000000,0.293274
102100,0.000000,0.288293
102200,0.000000,0.265778
102300,0.000000,0.286205
102400,0.000000,0.289088
102500,0.000000,0.276493
102600,0.000000,0.271957
102700,0.000000,0.272326
102800,0.000000,0.259853
102900,0.000000,0.305237
103000,0.000000,0.281631
103100,0.000000,0.247140
103200,0.000000,0.258472
103300,0.000000,0.258513
103400,0.000000,0.265816
103500,0.000000,0.261102
103600,0.000000,0.274181
103700,0.000000,0.263037
103800,0.000000,0.250078
103900,0.000000,0.252507
104000,0.000000,0.267715
104100,0.000000,0.285896
104200,0.000000,0.260469
104300,0.000000,0.264243
104400,0.000000,0.275364
104500,0.000000,0.278378
104600,0.000000,0.301749
104700,0.000000,0.268666
104800,0.000000,0.266418
104900,0.000000,0.282124
105000,0.000000,0.274426
105100,0.000000,0.278869
105200,0.000000,0.295648
105300,0.000000,0.281771
105400,0.000000,0.285018
105500,0.000000,0.295245
105600,0.000000,0.279186
105700,0.000000,0.263120
105800,0.000000,0.265389
105900,0.000000,0.246164
106000,0.000000,0.229160
106100,0.000000,0.247954
106200,0.000000,0.267470
106300,0.000000,0.249973
106400,0.000000,0.230848
106500,0.000000,0.261204
106600,0.000000,0.249922
